property_id,city,property_type,bedrooms,bathrooms,square_feet,year_built,price,price_per_sqft,days_on_market
PROP-0001,Phoenix,Multi-Family,3,3.0,2135,1987,719000.0,336.77,11
PROP-0002,Chicago,Multi-Family,4,3.0,2878,1995,742000.0,257.82,67
PROP-0003,Boston,Condo,4,4.0,2371,2002,1321000.0,557.15,95
PROP-0004,Phoenix,Single Family,3,3.0,1752,2006,513000.0,292.81,9
PROP-0005,Austin,Single Family,1,1.0,453,1988,207000.0,456.95,19
PROP-0006,Denver,Condo,4,5.0,2749,1987,1130000.0,411.06,34
PROP-0007,Denver,Townhouse,2,2.0,1101,2004,541000.0,491.37,35
PROP-0008,Denver,Single Family,3,3.0,1702,2023,733000.0,430.67,48
PROP-0009,Chicago,Condo,2,2.0,1431,1982,477000.0,333.33,79
PROP-0010,Denver,Single Family,1,1.2,740,1999,318000.0,429.73,44
PROP-0011,Seattle,Townhouse,5,3.8,2627,2013,1371000.0,521.89,95
PROP-0012,Denver,Condo,3,3.8,1851,1983,762000.0,411.67,116
PROP-0013,Seattle,Condo,2,2.5,1166,2022,594000.0,509.43,7
PROP-0014,Chicago,Single Family,2,1.5,1282,1978,406000.0,316.69,114
PROP-0015,Seattle,Multi-Family,3,3.0,1525,2018,795000.0,521.31,15
PROP-0016,Austin,Multi-Family,3,2.2,2186,1991,950000.0,434.58,67
PROP-0017,Austin,Condo,4,4.0,2929,1986,1000000.0,341.41,62
PROP-0018,Chicago,Condo,1,0.8,455,2001,151000.0,331.87,11
PROP-0019,Boston,Townhouse,3,3.8,1885,2016,1017000.0,539.52,115
PROP-0020,Chicago,Multi-Family,5,5.0,2479,1987,614000.0,247.68,74
PROP-0021,Miami,Multi-Family,3,3.8,1849,1991,1094000.0,591.67,35
PROP-0022,Boston,Townhouse,3,3.8,2106,2014,1268000.0,602.09,116
PROP-0023,Denver,Condo,3,3.0,1906,1984,678000.0,355.72,79
PROP-0024,Phoenix,Condo,4,4.0,2209,1990,759000.0,343.59,78
PROP-0025,Austin,Condo,1,1.0,655,2015,298000.0,454.96,108
PROP-0026,Austin,Townhouse,2,2.0,912,1977,388000.0,425.44,107
PROP-0027,Denver,Townhouse,2,1.5,1337,2000,469000.0,350.79,8
PROP-0028,Denver,Multi-Family,2,2.5,946,1978,419000.0,442.92,61
PROP-0029,Denver,Condo,5,5.0,3080,1995,1150000.0,373.38,28
PROP-0030,Denver,Condo,3,3.8,2131,2003,1024000.0,480.53,98
PROP-0031,Austin,Townhouse,2,1.5,1276,2003,547000.0,428.68,120
PROP-0032,Austin,Single Family,2,2.5,1029,1979,415000.0,403.3,95
PROP-0033,Miami,Condo,2,1.5,1119,1993,529000.0,472.74,61
