employee_id,department,job_title,location,hire_date,tenure_years,salary,performance_score,satisfaction_score,projects_completed
EMP-0001,Human Resources,HR Generalist,London,2023-02-04,1.3,89200.0,3.7,4.3,8
EMP-0002,Human Resources,HR Generalist,Austin,2023-02-23,1.3,80600.0,4.5,3.7,16
EMP-0003,Engineering,DevOps Specialist,San Francisco,2019-01-31,5.3,128500.0,4.4,3.7,17
EMP-0004,Product,UX Designer,Toronto,2019-05-05,5.1,138800.0,3.6,3.1,16
EMP-0005,Marketing,Growth Marketer,Toronto,2018-08-15,5.8,111700.0,4.2,4.3,10
EMP-0006,Data Analytics,BI Developer,Remote,2019-04-15,5.1,108500.0,4.4,3.8,16
EMP-0007,Sales,Business Development Rep,Austin,2018-07-13,5.9,122200.0,3.4,3.7,10
EMP-0008,Human Resources,HR Generalist,Remote,2018-03-12,6.2,88500.0,2.7,3.3,23
EMP-0009,Finance,Staff Accountant,Toronto,2023-01-10,1.4,96900.0,2.9,4.7,18
EMP-0010,Marketing,Growth Marketer,London,2021-11-16,2.5,96600.0,2.5,3.2,3
EMP-0011,Human Resources,Talent Recruiter,Toronto,2020-12-30,3.4,95300.0,4.6,3.2,24
EMP-0012,Human Resources,People Operations Manager,Remote,2022-07-16,1.9,88600.0,2.9,3.4,27
EMP-0013,Sales,Business Development Rep,London,2023-03-26,1.2,95400.0,4.7,3.3,6
EMP-0014,Marketing,Content Strategist,New York,2020-02-08,4.3,87900.0,3.9,5.0,16
EMP-0015,Engineering,Senior Developer,Toronto,2019-07-25,4.9,152100.0,2.7,4.9,10
EMP-0016,Data Analytics,Analytics Engineer,New York,2020-05-20,4.0,380000.0,4.5,4.9,9
EMP-0017,Engineering,DevOps Specialist,San Francisco,2021-08-30,2.8,115500.0,4.1,4.7,16
EMP-0018,Finance,Payroll Manager,Austin,2018-04-02,6.2,105400.0,3.2,4.3,19
EMP-0019,Human Resources,People Operations Manager,Austin,2019-10-08,4.6,80300.0,2.8,3.7,13
EMP-0020,Data Analytics,BI Developer,New York,2021-07-31,2.8,118400.0,3.8,3.4,23
EMP-0021,Engineering,Senior Developer,New York,2019-12-03,4.5,134700.0,3.6,4.3,23
EMP-0022,Finance,Payroll Manager,Austin,2022-08-13,1.8,97000.0,4.1,3.4,16
EMP-0023,Human Resources,People Operations Manager,Austin,2019-10-14,4.6,94900.0,4.3,3.5,15
EMP-0024,Sales,Sales Manager,Austin,2023-06-19,1.0,101800.0,3.1,4.2,12
EMP-0025,Finance,Staff Accountant,Toronto,2020-06-17,4.0,93200.0,3.9,3.4,3
EMP-0026,Product,UX Designer,London,2023-06-20,1.0,123500.0,2.6,3.8,16
EMP-0027,Finance,Staff Accountant,London,2022-04-27,2.1,108600.0,3.7,4.6,22
EMP-0028,Engineering,Software Engineer,Austin,2021-11-18,2.5,133000.0,2.8,3.2,21
EMP-0029,Product,UX Designer,London,2019-11-26,4.5,134100.0,2.9,4.4,15
EMP-0030,Engineering,DevOps Specialist,San Francisco,2018-01-14,6.4,142900.0,4.1,4.1,9
EMP-0031,Finance,Financial Analyst,San Francisco,2021-08-26,2.8,92300.0,4.8,4.6,25
EMP-0032,Sales,Sales Manager,New York,2018-10-08,5.6,126300.0,4.7,4.9,27
EMP-0033,Finance,Payroll Manager,San Francisco,2022-12-08,1.5,86400.0,3.8,3.0,18
EMP-0034,Sales,Business Development Rep,Remote,2021-09-13,2.7,112400.0,2.8,5.0,16
EMP-0035,Human Resources,People Operations Manager,London,2021-12-30,2.4,86400.0,5.0,3.8,6
